population,cohort,site,sex,id,group,Rx(ppm),age_initiation(mo),status,dead,age(days)
UM-HET3,C2018,TJL,f,JL17001,Control,0,,dead,True,977
UM-HET3,C2018,TJL,f,JL17002,Control,0,,dead,True,977
UM-HET3,C2018,TJL,f,JL17003,Control,0,,dead,True,1081
UM-HET3,C2018,TJL,f,JL17004,Control,0,,dead,True,841
UM-HET3,C2018,TJL,f,JL17029,Control,0,,dead,True,935
UM-HET3,C2018,TJL,f,JL17030,Control,0,,dead,True,791
UM-HET3,C2018,TJL,f,JL17031,Control,0,,dead,True,897
UM-HET3,C2018,TJL,f,JL17032,Control,0,,dead,True,908
UM-HET3,C2018,TJL,f,JL17037,Control,0,,dead,True,825
UM-HET3,C2018,TJL,f,JL17038,Control,0,,dead,True,995
UM-HET3,C2018,TJL,f,JL17039,Control,0,,dead,True,1104
UM-HET3,C2018,TJL,f,JL17040,Control,0,,dead,True,852
UM-HET3,C2018,TJL,f,JL17111,Control,0,,dead,True,805
UM-HET3,C2018,TJL,f,JL17112,Control,0,,dead,True,972
UM-HET3,C2018,TJL,f,JL17113,Control,0,,dead,True,831
UM-HET3,C2018,TJL,f,JL17114,Control,0,,dead,True,625
UM-HET3,C2018,TJL,f,JL17141,Control,0,,dead,True,694
UM-HET3,C2018,TJL,f,JL17142,Control,0,,dead,True,901
UM-HET3,C2018,TJL,f,JL17143,Control,0,,dead,True,821
UM-HET3,C2018,TJL,f,JL17144,Control,0,,dead,True,917
UM-HET3,C2018,TJL,f,JL17195,Control,0,,dead,True,992
UM-HET3,C2018,TJL,f,JL17196,Control,0,,dead,True,771
UM-HET3,C2018,TJL,f,JL17197,Control,0,,dead,True,928
UM-HET3,C2018,TJL,f,JL17198,Control,0,,dead,True,586
UM-HET3,C2018,TJL,f,JL17230,Control,0,,dead,True,817
UM-HET3,C2018,TJL,f,JL17231,Control,0,,dead,True,838
UM-HET3,C2018,TJL,f,JL17232,Control,0,,dead,True,1242
UM-HET3,C2018,TJL,f,JL17233,Control,0,,dead,True,670
UM-HET3,C2018,TJL,f,JL17249,Control,0,,dead,True,1173
UM-HET3,C2018,TJL,f,JL17250,Control,0,,dead,True,608
UM-HET3,C2018,TJL,f,JL17251,Control,0,,dead,True,1163
UM-HET3,C2018,TJL,f,JL17252,Control,0,,dead,True,998
UM-HET3,C2018,TJL,f,JL17257,Control,0,,dead,True,1085
UM-HET3,C2018,TJL,f,JL17258,Control,0,,dead,True,1259
UM-HET3,C2018,TJL,f,JL17259,Control,0,,dead,True,1154
UM-HET3,C2018,TJL,f,JL17260,Control,0,,dead,True,545
UM-HET3,C2018,TJL,f,JL17277,Control,0,,dead,True,949
UM-HET3,C2018,TJL,f,JL17278,Control,0,,dead,True,845
UM-HET3,C2018,TJL,f,JL17279,Control,0,,dead,True,749
UM-HET3,C2018,TJL,f,JL17280,Control,0,,dead,True,1054
UM-HET3,C2018,TJL,f,JL17335,Control,0,,dead,True,489
UM-HET3,C2018,TJL,f,JL17336,Control,0,,dead,True,933
UM-HET3,C2018,TJL,f,JL17337,Control,0,,dead,True,1167
UM-HET3,C2018,TJL,f,JL17338,Control,0,,dead,True,722
UM-HET3,C2018,TJL,f,JL17369,Control,0,,dead,True,997
UM-HET3,C2018,TJL,f,JL17370,Control,0,,dead,True,788
UM-HET3,C2018,TJL,f,JL17371,Control,0,,dead,True,725
UM-HET3,C2018,TJL,f,JL17372,Control,0,,dead,True,931
UM-HET3,C2018,TJL,f,JL17377,Control,0,,dead,True,1186
UM-HET3,C2018,TJL,f,JL17378,Control,0,,dead,True,871
UM-HET3,C2018,TJL,f,JL17379,Control,0,,dead,True,645
UM-HET3,C2018,TJL,f,JL17380,Control,0,,dead,True,885
UM-HET3,C2018,TJL,f,JL17381,Control,0,,dead,True,900
UM-HET3,C2018,TJL,f,JL17382,Control,0,,dead,True,902
