population,cohort,site,sex,id,group,Rx(ppm),age_initiation(mo),status,dead,age(days),l,m,n,o
UM-HET3,C2019,TJL,f,JL19005,Asta,4000,12,dead,True,1051,,,,
UM-HET3,C2019,TJL,f,JL19006,Asta,4000,12,dead,True,999,,,,
UM-HET3,C2019,TJL,f,JL19007,Asta,4000,12,dead,True,799,,,,
UM-HET3,C2019,TJL,f,JL19008,Asta,4000,12,dead,True,956,,,,
UM-HET3,C2019,TJL,f,JL19121,Asta,4000,12,dead,True,1015,,,,
UM-HET3,C2019,TJL,f,JL19122,Asta,4000,12,dead,True,1152,,,,
UM-HET3,C2019,TJL,f,JL19123,Asta,4000,12,dead,True,860,,,,
UM-HET3,C2019,TJL,f,JL19124,Asta,4000,12,dead,True,859,,,,
UM-HET3,C2019,TJL,f,JL19158,Asta,4000,12,dead,True,1035,,,,
UM-HET3,C2019,TJL,f,JL19159,Asta,4000,12,dead,True,1027,,,,
UM-HET3,C2019,TJL,f,JL19160,Asta,4000,12,dead,True,928,,,,
UM-HET3,C2019,TJL,f,JL19161,Asta,4000,12,dead,True,738,,,,
UM-HET3,C2019,TJL,f,JL19220,Asta,4000,12,dead,True,942,,,,
UM-HET3,C2019,TJL,f,JL19221,Asta,4000,12,dead,True,1026,,,,
UM-HET3,C2019,TJL,f,JL19222,Asta,4000,12,dead,True,1193,,,,
UM-HET3,C2019,TJL,f,JL19223,Asta,4000,12,dead,True,1091,,,,
UM-HET3,C2019,TJL,f,JL19307,Asta,4000,12,dead,True,837,,,,
UM-HET3,C2019,TJL,f,JL19308,Asta,4000,12,dead,True,1186,,,,
UM-HET3,C2019,TJL,f,JL19309,Asta,4000,12,dead,True,1116,,,,
UM-HET3,C2019,TJL,f,JL19310,Asta,4000,12,dead,True,816,,,,
UM-HET3,C2019,TJL,f,JL19393,Asta,4000,12,dead,True,1056,,,,
UM-HET3,C2019,TJL,f,JL19394,Asta,4000,12,dead,True,1061,,,,
UM-HET3,C2019,TJL,f,JL19395,Asta,4000,12,dead,True,568,,,,
UM-HET3,C2019,TJL,f,JL19396,Asta,4000,12,dead,True,1049,,,,
UM-HET3,C2019,TJL,f,JL19505,Asta,4000,12,dead,True,634,,,,
UM-HET3,C2019,TJL,f,JL19506,Asta,4000,12,dead,True,1067,,,,
UM-HET3,C2019,TJL,f,JL19507,Asta,4000,12,dead,True,871,,,,
UM-HET3,C2019,TJL,f,JL19508,Asta,4000,12,dead,True,688,,,,
UM-HET3,C2019,TJL,f,JL19583,Asta,4000,12,dead,True,839,,,,
UM-HET3,C2019,TJL,f,JL19584,Asta,4000,12,dead,True,988,,,,
UM-HET3,C2019,TJL,f,JL19585,Asta,4000,12,dead,True,806,,,,
UM-HET3,C2019,TJL,f,JL19586,Asta,4000,12,dead,True,639,,,,
UM-HET3,C2019,TJL,f,JL19666,Asta,4000,12,dead,True,1014,,,,
UM-HET3,C2019,TJL,f,JL19667,Asta,4000,12,dead,True,1036,,,,
UM-HET3,C2019,TJL,f,JL19668,Asta,4000,12,dead,True,1041,,,,
UM-HET3,C2019,TJL,f,JL19669,Asta,4000,12,dead,True,1047,,,,
UM-HET3,C2019,TJL,f,JL19752,Asta,4000,12,dead,True,1066,,,,
UM-HET3,C2019,TJL,f,JL19753,Asta,4000,12,dead,True,802,,,,
UM-HET3,C2019,TJL,f,JL19754,Asta,4000,12,dead,True,723,,,,
